"","project","language","article","access","agent","granularity","date","views"
"154","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-02,17458
"155","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-03,18124
"156","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-04,18738
"157","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-05,16659
"158","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-06,16721
"159","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-07,17347
"160","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-08,18105
"161","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-09,17503
"162","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-10,18926
"163","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-11,15969
"164","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-12,15670
"165","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-13,16138
"166","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-14,18062
"167","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-15,15568
"168","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-16,14828
"169","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-17,16691
"170","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-18,15184
"171","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-19,15099
"172","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-20,13938
"173","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-21,16143
"174","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-22,17436
"175","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-23,16954
"176","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-24,15374
"177","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-25,15008
"178","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-26,14894
"179","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-27,15712
"180","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-28,20716
"181","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-29,16291
"182","wikipedia","en","Facebook","mobile-web","user","daily",2016-04-30,16398
"183","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-01,16848
"184","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-02,18682
"185","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-03,15992
"186","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-04,15907
"187","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-05,15320
"188","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-06,14787
"189","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-07,15316
"190","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-08,17387
"191","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-09,14793
"192","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-10,14302
"193","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-11,14700
"194","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-12,14340
"195","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-13,15709
"196","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-14,15697
"197","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-15,16654
"198","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-16,15162
"199","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-17,15464
"200","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-18,16595
"201","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-19,20981
"202","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-20,20624
"203","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-21,18408
"204","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-22,16366
"205","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-23,17665
"206","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-24,16725
"207","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-25,15944
"208","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-26,20046
"209","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-27,17667
"210","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-28,15332
"211","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-29,18476
"212","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-30,18864
"213","wikipedia","en","Facebook","mobile-web","user","daily",2016-05-31,17593
"214","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-01,16556
"215","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-02,15234
"216","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-03,15030
"217","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-04,16711
"218","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-05,25735
"219","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-06,17695
"220","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-07,14738
"221","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-08,20084
"222","wikipedia","en","Facebook","mobile-web","user","daily",2016-06-09,15846
